author,count
Ralf Steinbrüggen,1
Michael Payer,1
Dominique Pastre,1
Klaus-Jürgen Engelberg,1
Andreas Meier 0001,1
G. Stamon,1
Bertrand Zavidovique,1
Carl August Zehnder,1
Bertram Thurnherr,1
Michael Breder,1
Joseph Weizenbaum,1
D. Herman,1
Michel Raynal,1
Peter Liell,1
Alain Tarabout,1
Bernard Maillot,1
Irène Vatton,1
Bernd Schmidt,1
Eike Hagen Riedemann,1
Wolfgang Ballin,1
Ralf Hartmut Güting,1
Hans-Peter Kriegel,1
Knut Ripken,1
M. A. Ertel,1
Horst Kosanke,1
Raymond Schneider,1
Peter Klein,1
Friedhelm Meyer auf der Heide,1
Heinz Dieter Maas,1
Claudio Moraga,1
Edward A. Feigenbaum,1
Dietrich Seibt,1
Wilhelm Mülder,1
Horst Biller,1
Monika Blum,1
Jürgen Höhne,1
Manfred Reitenspieß,1
J. Reyes,1
G. Roehmer,1
Graham Wrightson,1
Hubert Österle,1
Bernd Breutmann,1
Rosmarie Mauer,1
M. R. King,1
N. H. Shelness,1
Walter Dosch,1
Gianfranco Mascari,1
Gerhard Jaeschke,1
Norbert Eisinger,1
Jörg H. Siekmann,1
Gert Smolka,1
E. Unvericht,1
Christoph Walther,1
Colette Rolland,1
Christian Richard,1
Theo von Bomhard,1
Norbert Ramsperger,1
Stefan Reisch,1
Peter Theobald,1
N. Bauchrowitz,1
F. Simon,1
W. A. Walker,1
Jonathan V. Post,1
Abraham Silberschatz,1
James B. Rothnie Jr.,1
Harry K. T. Wong,1
William Kent,1
David K. Jefferson,1
Nicolas Spyratos,1
K. K. Nambiar,1
Wing Kai Cheng,1
Geneva G. Belford,1
Robert Demolombe,1
Eric K. Clemons,1
Daniel A. Menascé,1
Oscar E. Landes,1
Shamkant B. Navathe,1
Rudolf Bayer,1
Klaus Elhardt,1
Hans Heller,1
Angelika Reiser,1
Dorothy A. Phillips,1
Steven H. Spewak,1
Per-Åke Larson,1
Susan J. Eggers,1
Arie Shoshani,1
Glenn Thomas,1
Emile Peeters,1
Rudi Studer,1
Barbara T. Blaustein,1
Robert S. Epstein,1
Lenny Freilich,1
Paul J. Sadowski,1
M. Tamir,1
T. Missinai,1
Joel Arditi,1
E. Raban,1
S. Sole,1
S. Timor,1
E. Zukovsky,1
S. Sedillort,1
Stanley B. Zdonik,1
C. J. Date,1
Donald E. Swartwout,1
Larry Wos,1
Alan Bundy,1
Bob Welham,1
Frederick C. Furtek,1
Alan M. Thompson,1
Donald W. Loveland,1
Robert E. Shostak,1
Helga Noll,1
Gábor Belovári,1
J. A. Campbell,1
Peter B. Andrews,1
Maurice Bruynooghe,1
Gérard D. Guiho,1
Christian Gresse,1
Alfredo Ferro,1
Eugenio G. Omodeo,1
Jacob T. Schwartz,1
Luís Moniz Pereira,1
António Porto,1
Rob Nederpelt,1
Chris Goad,1
Jean-Pierre H. Laurent,1
Richard W. Weyhrauch,1
Philip T. Cox,1
Tomasz Pietrzykowski,1
W. W. Bledsoe,1
Larry M. Hines,1
Paul E. Dworak,1
Philip C. Baczewski,1
John Strawn,1
Curtis Abbott,1
Peter J. Clements,1
Otto E. Laske,1
Andrew S. Glassner,1
Donald Byrd,1
Daniel Arfib,1
F. Richard Moore,1
Michael A. Yantis,1
Steve Levine,1
J. William Mauchly,1
Scott Vance,1
James Montgomery,1
John Rogers,1
John Rockstroh,1
Deta S. Davis,1
Hubert S. Howe Jr.,1
Mark Kahrs,1
Christopher Fry,1
Tamas Ungvary,1
Barry Truax,1
Charles E. Potter,1
Dale Teaney,1
Wesley Fuller,1
Don Lieberman,1
Wayne Slawson,1
David W. Carr,1
Rosalee Nerheim,1
Wilber T. England,1
Kemal Ebcioglu,1
Brad Albers,1
Paul Lansky,1
M. Green,1
Bruce McLean,1
Charles Ames,1
Alexander R. Brinkman,1
Kevin Jones,1
Howard A. Peelle,1
Stuart Smith,1
Douglas J. Steele,1
Goffredo Haus,1
Hélène Charnassé,1
David Keane,1
C. G. Marillier,1
Raymond F. Jurgens,1
Dorothy Gross,1
Gary S. Kendall,1
Franz Kneißl,1
H. Burkhardt,1
J. Schöffel,1
R. Thurmayr,1
B. Eickenscheidt,1
S. A. Slaby,1
Wolfgang A. Slaby,1
Fritz-Peter Spellman,1
Jörg Schultze-Bohl,1
R.-J. Fischer,1
W. Kaiser,1
H. Th. Hagmeyer,1
G. Putze,1
D. Köberl,1
W. Geigl,1
M. Scherer,1
H. Schier,1
Paul Schmitz,1
Friedbert Jochum,1
Peter Weidner,1
W. Schneider,1
Joachim Dudeck,1
W. Sager,1
K. Schenke,1
Allan Borodin,1
I. S. Filotti,1
Jack N. Mayer,1
Errol L. Lloyd,1
Leonidas J. Guibas,1
Dana Angluin,1
Deborah Joseph,1
Paul Young,1
Christoph M. Hoffmann,1
Gary L. Miller,1
H. Raymond Strong,1
Chee-Keng Yap,1
Nicholas Pippenger,1
Allen Cypher,1
James A. Storer,1
David Lichtenstein,1
Nancy A. Lynch,1
Peter A. Bloniarz,1
Oscar H. Ibarra,1
Brian S. Leininger,1
Kenneth J. Supowit,1
Edward M. Reingold,1
Ravindran Kannan,1
Mark H. Overmars,1
Jan van Leeuwen,1
Ronald Fagin,1
Michael J. Fischer,1
Mike Paterson,1
David A. Carlson,1
John E. Savage,1
Bernard Chazelle,1
Paul G. Spirakis,1
Sam Toueg,1
Joos Heintz,1
Claus-Peter Schnorr,1
Joel I. Seiferas,1
C. L. Liu,1
S. Gill Williamson,1
Helmut Thiele,1
A. Pink,1
Bernard Robinet,1
Marek Karpinski,1
Jerzy Tiuryn,1
Jocelyne Mongy,1
Norbert Cot,1
Jean Berstel,1
Christophe Reutenauer,1
Axel Poigné,1
Didier Bégay,1
Dominique Gouyou-Beauchamps,1
Werner Damm,1
Elfriede Fehr,1
Michio Oyamaguchi,1
Yasuyoshi Inagaki,1
Namio Honda,1
Marco Bozzetti,1
Pierre Nepomiastchy,1
John Pollard,1
Glen Campbell,1
Manfred R. Klopprogge,1
Peter C. Lockemann,1
Alfons J. Jammel,1
Helmut G. Stiegler,1
Pavel Vogel,1
James D. Foley,1
Walter S. Brainerd,1
Jeanne Adams,1
W. F. Smyth,1
N. W. N. Jayasiri,1
Susan L. Gerhart,1
David H. Thompson,1
D. A. Baker,1
R. L. Bates,1
R. L. London,1
D. G. Taylor,1
David S. Wile,1
Pierre Azéma,1
Bernard Berthomieu,1
Henry Kanoui,1
Michel Van Caneghem,1
Howard L. Morgan,1
Bas K. Brussaard,1
Peter A. Tas,1
Kurt Hässig,1
Christian J. Jenny,1
Hans-Dieter Ehrich,1
Udo W. Lipeck,1
Kokichi Futatsugi,1
Koji Okada,1
Mehmet Dincbas,1
Kin-Man Chung,1
Fabrizio Luccio,1
Bruce I. Blum,1
Richard J. Johns,1
Bruce Gilchrist,1
A. Vaquero,1
José M. Troya,1
Philip M. Stanley,1
Vladimír Vrecion,1
Françoise Gallouedec Genuys,1
Jack Foisseau,1
René Jacquart,1
Michel Lemaître,1
Michel Lemoine,1
J. C. Vignat,1
Guy Zanon,1
Kazuyoshi Morino,1
Osamu Takahashi,1
Koji Kodama,1
Jiro Yoshii,1
Ken-ichi Mori,1
Toshitsugu Yuba,1
Akio Kokubu,1
Ryoichi Ooomote,1
Alan R. Tyson,1
James Leslie Keedy,1
J. D. Lawson,1
David A. Swayne,1
Herbert Freeman,1
A. D. Le Rest,1
J. Blevanus,1
M. Ferragu,1
David Gries,1
Timothy Johnson,1
Masatoshi Kubo,1
Yasushi Taguchi,1
Kiyoshi Agusa,1
Claude Delobel,1
Seymour Papert,1
Giampio Bracchi,1
Makoto Terajima,1
Brian M. Murphy,1
Jean-Claude Pagès,1
Dominique Gremillet,1
Andreas Horst,1
Jun-ichiro Yokoyama,1
Akira Fukuda,1
Kurt Maly,1
Leonhard Kampa,1
Makoto Takizawa,1
Eiji Hamanaka,1
Teruo Hikita,1
Satoru Kawai,1
Alan C. Kay,1
Katsuhiro Yamazaki,1
Sebastiaan H. von Solms,1
Wilhelm Steinmüller,1
C. Gaude,1
J. Langet,1
S. Palassin,1
Claude Kaiser,1
Morton M. Astrahan,1
Mario Schkolnick,1
A. I. Acil'diev,1
Yoshikuni Onozato,1
Sherry Turkle,1
Daniel Gabay,1
Marc Guillaume,1
Arthur J. Catto,1
John R. Gurd,1
Barry R. Borgerson,1
R. H. Johnson,1
O. Kato,1
T. Fujita,1
M. Niwa,1
T. Morishita,1
J. Tanahashi,1
Yves Cohen-Hadria,1
Ashoke Deb,1
Miguel A. Hernan,1
Javier Jiménez,1
Benoit David,1
Yvon Gardan,1
J. Mermet,1
R. A. Davenport,1
Eric D. Carlson,1
Wolfgang Metz,1
Csaba Gergely,1
László Háklár,1
Helmuth Kraenzlein,1
Paul Bourret,1
Patrice Cros,1
Asbjørn Rolstadås,1
Peter Falster,1
Yukuo Isomoto,1
Keiichi Yamagata,1
Tadashi Ishiketa,1
Chris Schmandt,1
Xu Jiafu,1
Chong Cuihao,1
N. V. Shulman,1
Fuqing Yang,1
Theodor Holm Nelson,1
Klaus Haefner,1
Gordon Pask,1
Osamu Ishii,1
Teuvo Kohonen,1
Jack Goldberg,1
V. A. J. Maller,1
Preben Folkjär,1
Giuseppe Gambolati,1
Giampiero Volpi,1
Masali Nakagawa,1
Alain G. Texier,1
David F. Stevens,1
Mario Nagata,1
Teruo Akiyama,1
Yasutaka Fujikake,1
Reiji Nakajima,1
Taiichi Yuasa,1
Keiji Kojima,1
Enn Tyugu,1
Takanobu Baba,1
Ken Ishikawa,1
Kenzo Okuda,1
Hiroyuki Kobayashi,1
Waltraud Schweikhardt,1
Roderick A. Matthews,1
Anthony C. Hearn,1
Peter T. Kirstein,1
Marc Berthod,1
D. R. Thomas,1
R. B. Maguire,1
John Cocke,1
Peter W. Markstein,1
Michael Yoeli,1
Abraham Ginzburg,1
Owe Axelsson,1
I. Gustafsson,1
Peter Albrecht,1
Dominique Comte,1
Nourredine Hifdi,1
Jean-Claude Syre,1
S. Peter de Jong,1
C. William Gear,1
Oscar Barros,1
Alejandro Gomez,1
Alice Recoque,1
Guy Cousineau,1
Jean Salmona,1
Gregory M. Hunter,1
Guri I. Marchuk,1
Valeri P. Il'in,1
Harlan D. Mills,1
Alain J. Martin,1
Takeshi Chusho,1
Janusz A. Brzozowski,1
László Úry,1
Yu. G. Evtushenko,1
Yu. Pavlovsky,1
N. J. Livesey,1
Hideyuki Tokuda,1
Renato de Mori,1
Alireza Kavianpour,1
Arthur D. Friedman,1
Sheila M. Blackmore,1
Hosaker N. Mahabala,1
Mudambi R. Muralidharan,1
Ghassan A. Kubba,1
Helmuth Partsch,1
Vadim E. Kotov,1
V. V. Zhurin,1
F. G. Tcheremissine,1
Erich J. Neuhold,1
Thomas Olnhoff,1
T. J. Lincoln,1
Yuzuru Tanaka,1
Yukoo Nozaka,1
Akinari Masuyama,1
Ian D. G. Macleod,1
J. J. Jackson,1
John B. Eulenberg,1
Sany Leinwand,1
Leonard Kleinrock,1
Yechiam Yemini,1
Wolfgang Leutert,1
Manfred Riedl,1
Christof Möller,1
Günter Schäfer,1
Ernst Böhm,1
Erhard Reblin,1
Reinhart Schmidt,1
Heinrich Sprenger,1
Hansheinz Scharf,1
Hans-Friedrich Hadeler,1
Klaus Peinze,1
Friederich Ipsen,1
Hermann Langer,1
Wolfgang Wirtz,1
Josef Gottlob,1
Tillmann Hüttenhain,1
Karl Wilms,1
Edgar Gillich,1
Martin Heidötting,1
Manfred Friedrich,1
Klaus Hansen,1
Manfred Weyer,1
Heinz Rettenmaier,1
Paul Riebel,1
Walter Heisel,1
Klaus-Dieter Fröhner,1
Volkhart Schmidt,1
Horst Zimmermann,1
Surendra Batra,1
Hermann Schmidt,1
Peter Schehka,1
Rudolf Schneider,1
Klaus Adena,1
Herbert Obermüller,1
Eckhard Bernshausen,1
Johannes Puhl,1
Frank Luther,1
Rudolf Nechutniß,1
Hans Henrik Lovengreen,1
Jørgen Bundgaard,1
Lennart Schultz,1
Ole Dommergaard,1
Ole N. Oest,1
Jan Storbank Pedersen,1
H. K. Huang,1
Menfai Shiu,1
F. R. Suarez,1
Isamu Kobayashi,1
B. S. Lin,1
R. Walser,1
Y. Edmund Lien,1
Susan K. Harris,1
Ning-San Chang,1
Y. T. Chien,1
Theodosios Pavlidis,1
Hideyuki Tamura,1
Chung-Chun Yang,1
Joseph Olu Omolayole,1
Allen Klinger,1
J. L. Reuss,1
Bruce H. McCormick,1
Edward T. Lee,1
Murat Kunt,1
Albert L. Zobrist,1
Nevin A. Bryant,1
Bharat K. Bhargava,1
Albert C. Oosterhof,1
Robert A. Reiser,1
James L. Wyatt,1
Kamala Anandam,1
Ed Eisel,1
Lorne Kotler,1
Wanda S. Talley Staggers,1
John Glaser,1
Maria Zemankova,1
Caroline M. Eastman,1
E. P. Miles Jr.,1
Christie D. Michelsen,1
Wayne D. Dominick,1
Joseph E. Urban,1
M. B. Windeknecht,1
Bruce O. Justham,1
Janis E. Qualls,1
Yeu-hsiung Liang,1
Joan M. Francioni,1
John C. Peck,1
Christopher W. Foreman,1
Steven L. Blumsack,1
Stephen P. Leach,1
Janet Craig,1
Thomas Philip,1
Robert M. Eastman,1
Bruce Edwards,1
David Scott,1
Elizabeth Davis,1
Gail Brownlee,1
Thomas A. Ball,1
John A. Mantle,1
James C. Pleasant,1
Sherwin Gooch,1
Jesse H. Poore Jr.,1
John W. Nall,1
James F. Wirth,1
Charles K. Woodruff,1
Myron L. Nack,1
Hayden S. Porter,1
Herbert W. Jones,1
Gordon Bailes,1
D. E. Swearingen,1
Eric W. Chamberlain,1
Arie E. Kaufman,1
Richard J. LeBlanc,1
Ben B. Barnes,1
William R. Spickerman,1
June Rampy Ponder,1
Rena A. Haynes,1
David Blythe,1
Andrew W. Ferretti,1
Dimitry Zissermann,1
William J. Rogers,1
David F. McAllister,1
Stephen M. Pizer,1
John Paul Shen,1
John P. Hayes,1
M. D. Ruggiero,1
Safwat G. Zaky,1
Kishor S. Trivedi,1
F. André,1
Jean-Pierre Banâtre,1
Hughes Leroy,1
G. Paget,1
Florimond Ployette,1
Jean-Paul Routeau,1
G. Andrew Boughton,1
Clement K. C. Leung,1
Constantine Halatsis,1
J. Joosten,1
M. Letheren,1
Jean-Paul Sansonnet,1
Michel Castan,1
Christian Percebois,1
Jean-Paul Brassard,1
Jan Gecsei,1
Jon G. Kuhl,1
Sudhakar M. Reddy,1
David B. G. Edwards,1
Alan E. Knowles,1
J. V. Woods,1
Kenneth E. Batcher,1
V. Carl Hamacher,1
Gerald S. Shedler,1
Mary Jane Irwin,1
Don Heller,1
Edward S. Davidson,1
Miguel Garcia Hoffman,1
Karl-Erwin Großpietsch,1
Jörg Kaiser,1
Edgar Nett,1
Mokhtar Boshra Riad,1
Robert H. Halstead Jr.,1
Stephen A. Ward,1
David Nassimi,1
Yasushi Hibino,1
David R. Ditzel,1
David A. Patterson,1
Robert M. Lougheed,1
David L. McCubbrey,1
Hermann von Issendorff,1
W. Grunewald,1
Uwe Hercksen,1
Rainer Klar,1
Wolfgang Kleinöder,1
Anand Jagannathan,1
Wlodzimierz M. Zuberek,1
Viktors Berstis,1
Jeffrey M. Tobias,1
Kenneth A. Pier,1
Anshul Kumar,1
P. C. P. Bhatt,1
Mario Tokoro,1
Kiichiro Tamaru,1
Masaaki Mizuno,1
Masao Hori,1
Sudhir Ahuja,1
Charles S. Roberts,1
Edward G. Coffman Jr.,1
Kimming So,1
Robert H. Kuhn,1
Philip C. Trevleaven,1
Geoffrey F. Mole,1
M. J. Foster,1
John Palmer,1
P. Guillier,1
D. Slosberg,1
J. Daniel Couger,1
Martin L. Bariff,1
Michael J. Ginzberg,1
Richard J. Welke,1
William R. King,1
Margrethe H. Olson,1
Ralph H. Sprague Jr.,1
Joyce J. Elam,1
John C. Henderson,1
Louis W. Miller,1
James A. Senn,1
Jerri L. Frantzve,1
Jeffrey H. Moore,1
Mary J. Culnan,1
Edward A. Stohr,1
Jon A. Turner,1
Ronald N. Taylor,1
Roger Weissinger-Baylon,1
Wayne Hughs,1
Scott Adams,1
Anne Weissinger-Baylon,1
E. Burton Swanson,1
Kenneth E. Kendall,1
Jeffrey A. Hoffer,1
Alan G. Merten,1
Scott Hamilton,1
Peter G. W. Keen,1
Loren R. McMurray,1
John Charles Cox,1
John M. Turner,1
Daniel Lai,1
Elwood L. Seifert,1
Frank Cornett,1
Richard M. Schwartz,1
John W. Klovstad,1
John Aasted Sørensen,1
Michael A. Krasner,1
Dan E. Dudgeon,1
Bill Koral,1
Louis Schirm,1
Shlomo Waser,1
Richard Wiggins,1
Roger F. Dwyer,1
Stephen E. Levinson,1
Kathleen L. Shipley,1
Robert J. Fontana,1
Graham A. Jullien,1
William C. Miller,1
L. E. Bergeron,1
Aaron J. Goldberg,1
Soon Young Kwon,1
M. Miller,1
Jared Bernstein,1
Nicholas Roethe,1
Alan C. Bessey,1
David C. Farden,1
Khalid Sayood,1
Jean-Pierre Adoul,1
Jean-Louis Debray,1
Daniel Dalle,1
Scott H. Foster,1
David L. Klepper,1
Monson H. Hayes,1
Jean-Marie Pierrel,1
Jean-Paul Haton,1
Lonnie C. Ludeman,1
Carey D. Bunks,1
Dennis R. Morgan,1
William J. Vetter,1
H. F. Vanlandingham,1
J. F. Bogdanski Jr.,1
Yutaka Kobayashi,1
Yasuhisa Niimi,1
John R. Mick,1
Bernard New,1
Herbert Bierfert,1
M. Kirstein,1
D. Lance,1
Guy Hochgesang,1
Robert V. Lemay,1
Georges Bienvenu,1
Laurent Kopp,1
Nils Rydbeck,1
Per Tjernlund,1
Jan Uddenfeldt,1
Jerald R. Hyde,1
A. Harold Marshall,1
Edwin H. Wrench Jr.,1
B. Patrick Landell,1
Jhong S. Lee,1
Leonard E. Miller,1
Richard R. Kurth,1
Michael T. McCallig,1
G. Beresford-Smith,1
I. M. Mason,1
James A. Cadzow,1
James W. Cooley,1
Gary A. Shaw,1
Charles K. Chui,1
Andrew K. Chan,1
B. A. Fette,1
R. Gibson,1
E. Greenwood,1
P. Ananthakrishna,1
Sanjit K. Mitra,1
Hans Gethöffer,1
Stephen W. Lang,1
Reinder Nouta,1
Robert J. Sluyter,1
H. J. Kotmans,1
A. V. Leeuwaarden,1
Kenneth Abend,1
Sadaoki Furui,1
Catherine P. Browman,1
M. R. Baraniecki,1
Malayappan Shridhar,1
James P. Reilly,1
Webster P. Dove,1
David Y. Wong,1
Uwe L. Haass,1
Thomas A. Brubaker,1
Gerald Wieber,1
M. J. Irwin,1
Abraham Peled,1
Antonio Ruiz,1
Eli Fogel,1
Y. F. Huang,1
Larry Marple,1
John S. Thompson,1
James R. Boddie,1
K. P. Li,1
T. J. Edwards,1
Donald W. Tufts,1
Ramdas Kumaresan,1
David P. Maher,1
William H. Haas,1
Claude S. Lindquist,1
John Y. Cheung,1
V. Ramamoorthy,1
Dennis Morris,1
David Weinrich,1
Vijay K. Jain,1
William L. Collins,1
David C. Davis,1
Miron Derkach,1
Samy A. H. Aly,1
Jean-Marc Delosme,1
Benjamin Friedlander,1
James D. Marr,1
Lalit R. Bahl,1
Raimo Bakis,1
Paul S. Cohen,1
A. G. Cole,1
Frederick Jelinek,1
Burn L. Lewis,1
Robert L. Mercer,1
Brian Atkinson,1
Robert A. Collesidis,1
Todd A. Dutton,1
Joseph R. Fisher,1
N. Rex Dixon,1
Stephen D. Huffman,1
Loren W. Nolte,1
Otis L. Frost,1
Steven Kay,1
Aspi B. Wadia,1
Chrysostomos L. Nikias,1
R. H. Wiggins,1
J. H. Parry,1
Barry L. Clark,1
John W. Woods,1
Vinay K. Ingle,1
R. Hingorani,1
G. Juskovic,1
Theodore J. Schultz,1
John B. O'Neal Jr.,1
R. R. Koneru,1
J. P. Agrawal,1
Dimitri Kazakos,1
Panayota Papantoni-Kazakos,1
Ken Davies,1
Bernard J. Repasky,1
Ben R. Breed,1
Tae H. Joo,1
Theresa C. Speake,1
B. Groc,1
D. Tuffelli,1
Shalhav Zohar,1
Neviano Dal Degan,1
Matt Townsend,1
Jorge I. Galdos,1
T. Sen Lee,1
Sharon Hunnicutt,1
C. Y. Chang,1
Masud Arjmand,1
Gwyn Edwards,1
Melvyn J. Hunt,1
Matthew Lennig,1
Paul Mermelstein,1
J. D. Tomcik,1
Anthony I. Eller,1
John F. Miller,1
Panos Papamichalis,1
John W. Fay,1
Stephen A. Dyer,1
Donald R. Hummels,1
Jean-François Abramatic,1
S. U. Lee,1
Matti Otala,1
Dusan M. Kodek,1
Daniel Minoli,1
Wendell Nakamine,1
Markku Renfors,1
Joël Le Roux,1
Donald G. Childers,1
J. S. Mott,1
G. P. Moore,1
David L. Soldan,1
Samuel D. Stearns,1
Michael McLaughlin,1
Frank Hudziak,1
Ira A. Gerson,1
Kevin Kloker,1
Nick G. Kingsbury,1
W. A. Amos,1
Robert A. Gabel,1
C. E. Schmidt,1
H. Ravindra,1
Henri J. Nussbaumer,1
S. Y. Hwang,1
Wonyong Sung,1
C. H. Reddy,1
P. Karivaratha Rajan,1
M. N. S. Swamy,1
Fernand S. Cohen,1
David B. Cooper,1
Howard Elliott,1
Peter F. Symosek,1
Gordon L. DeMuth,1
Eugene B. Hogenauer,1
Marian J. Macchi,1
Thomas Kailath,1
Joseph C. Hassab,1
Brian W. Guimond,1
Steven C. Nardone,1
James H. McClellan,1
Cory S. Myers,1
A. M. Vural,1
Claude Guéguen,1
F. Giannella,1
W. J. Gelow,1
W. Steven Bussey,1
Michael J. Coker,1
Donald N. Simkins,1
Michael L. Honig,1
John R. Treichler,1
Michael G. Larimore,1
Peter L. Chu,1
Colin F. N. Cowan,1
H. Martin Reekie,1
John Mavor,1
John W. Arthur,1
Peter B. Denyer,1
W. Marshall Leach Jr.,1
James L. Caldwell,1
Marilyn L. Malpass,1
William S. Hodgkiss,1
Jean-Pierre Dugré,1
Ronald S. Cheung,1
Raimond L. Winslow,1
Thomas A. Kriz,1
Dale F. Bachman,1
D. E. Wight,1
Francis X. Bostick,1
R. C. Cox,1
David M. Robinson,1
Claude R. Galand,1
Daniel J. Esteban,1
G. Robert Redinbo,1
W. Y. Cheung,1
Matti Karjalainen,1
Unto K. Laine,1
Raimo Toivonen,1
Ken R. Haymond,1
R. Jerome Folmar,1
Joe Wood,1
Heinz G. Fehn,1
Peter Noll,1
Gloria Faye Boudreaux,1
Thomas W. Parks,1
Jay G. Wilpon,1
Dae Hee Youn,1
Ryohei Nakatsu,1
Raymond Descout,1
Jean-Yves Auloge,1
Bernard Guérin,1
Jerry D. Gibson 0001,1
Louis C. Sauter,1
Michel Chafcouloff,1
Gérard Chollet,1
Paul P. Durand,1
Jacques Guizol,1
Xavier Rodet,1
Jesse W. Fussell,1
Thomas C. Cantwell,1
Richard D. Wilmot,1
A. Richard Smith,1
Marvin R. Sambur,1
James B. Lee,1
Satoshi Imai,1
Yoshiharu Abe,1
Richard L. Frost,1
Craig K. Rushforth,1
Candace M. Anderson,1
Roger Y. Tsai,1
Thomas S. Huang,1
John H. Lodge,1
David C. Munson Jr.,1
Bede Liu,1
Martha E. Hean,1
Bishnu S. Atal,1
Manfred R. Schroeder,1
Andres Buzo,1
Robert M. Gray,1
C. S. Joshi,1
Jack F. McDonald,1
Randy H. Steinvorth,1
Masayuki Kawamata,1
Tatsuo Higuchi 0001,1
Gérard Thomas,1
Steven F. Boll,1
William P. Whyland,1
Kent Scarbrough,1
G. Clifford Carter,1
Richard E. Twogood,1
John R. Welch,1
Sheldon C. Oxenberg,1
A. D. McAulay,1
W. Clay Choate,1
R. N. Shurtleff,1
P. Jeffrey Bloom,1
Joel A. Feldman,1
Magnus Moll,1
Sarah A. Rajala,1
Rui J. P. de Figueiredo,1
Roberto Billi,1
J. Robert Ashley,1
J. Bee Bednar,1
William A. Coberly,1
Raymond Steele,1
Edward P. Neuburg,1
Robert B. Fisher III,1
Andrew C. Callahan,1
Norman Brenner,1
William L. Mills,1
Bernard Gold,1
Frank K. Soong,1
Wayne R. Lund,1
B. Yegnanarayana,1
Takao Nishitani,1
Yuichi Kawakami,1
Rikio Maruta,1
Akira Sawai,1
Bharat B. Madan,1
Richard B. Lauer,1
Anil K. Jain 0002,1
Surendra Ranganath,1
Renato De Mori,1
Chao H. Huang,1
Earl E. Swartzlander Jr.,1
William D. Voiers,1
J. M. Riley,1
Michael J. McLane,1
David L. Cohn,1
Fred Mintzer,1
Kil Ho Song,1
Carey Gibson,1
Arye Nehorai,1
Keith Blanton,1
C. J. M. Hodges,1
Daniel McWhorter,1
Gervasio Prado,1
R. K. Pearson,1
Lloyd J. Griffiths,1
Joseph Olive,1
Dietmar Achilles,1
L. Thieme,1
Hugh A. Tucker,1
Bernd Wingert,1
Thomas Neuman,1
Albert L. Klosterman,1
Jason R. Lemon,1
S. K. Tolani,1
Hans Grabowski,1
Helmut Maier,1
Otto Manck,1
E. Emde,1
V. Erlacher,1
K. H. Hirschmann,1
Peter Dietz,1
Th. von Verschuer,1
Hans Schlosser,1
Ulrich Seiffert,1
H. G. Siepmann,1
Klaus Leinemann,1
Michael A. Wesley,1
Aristides A. G. Requicha,1
Volkmar Droßmann,1
G. Pahl,1
E. Schmidt,1
Gerhard Engelken,1
J. Lorey,1
Wolf-Henryk Menke,1
Carl J. Bellas,1
Lewis Corner,1
Richard Wiener,1
John S. Dorrenbacher,1
R. V. Oakford,1
Arturo Salazar,1
R. S. Skertchly,1
William H. Hochstettler,1
Lawrence L. Rose,1
Ricardo F. Garzia,1
Phillip H. Schmidt,1
Mario R. Garzia,1
Tuncer I. Ören,1
Brian Collie,1
Paul J. Kuzdrall,1
James E. Hatch,1
Roger A. More,1
DeWayne Ketchum,1
David L. Tweedy,1
Delton L. Chesser,1
Charles M. Shub,1
Deborah J. Medeiros,1
Randall P. Sadowski,1
Darrell W. Starks,1
B. S. Smith,1
R. D. Doering,1
Y. A. Hosni,1
James M. Cargal,1
Elizabeth R. Ducot,1
Alexander H. Levis,1
Melvin M. Cutler,1
Roger H. Mehl,1
Edward C. Russell,1
Thomas D. Clark Jr.,1
